"RelPath","FullName","Extension","SizeBytes","LastWriteTime","TopLevel","SHA256"
"1.Universal_Rules copy.md","1.Universal_Rules copy.md",".md","16256","10/23/2025 14:56:35","1.Universal_Rules copy.md","A8D361A90F4161765B726764616CAE826E4A54333CF92A99E58F7BED10687734"
"1.Universal_Rules.md","1.Universal_Rules.md",".md","16226","08/18/2025 19:23:28","1.Universal_Rules.md","2AE8A8DAC6B4EDD6C2AC7D3B29A2EE03E8A6820B7B35CAA1116469E39D29A599"
"2 · Why copy.pdf","2 · Why copy.pdf",".pdf","345590","08/11/2025 10:29:47","2 · Why copy.pdf","BC99D9BB1B05D36716AEB6BE4124EBBA8F8516972D6F060E7BD872CAA9CEE326"
"2 · Why.pdf","2 · Why.pdf",".pdf","345590","08/11/2025 10:29:47","2 · Why.pdf","BC99D9BB1B05D36716AEB6BE4124EBBA8F8516972D6F060E7BD872CAA9CEE326"
"2.Expanded_Ordinal_Toolkit copy.md","2.Expanded_Ordinal_Toolkit copy.md",".md","44755","08/18/2025 19:23:28","2.Expanded_Ordinal_Toolkit copy.md","91EED3210C6D21D26B29FE491A4E6954AF1C1A69906B1332DB323E154B78DDB6"
"2.Expanded_Ordinal_Toolkit.md","2.Expanded_Ordinal_Toolkit.md",".md","50828","08/18/2025 07:39:47","2.Expanded_Ordinal_Toolkit.md","148CDC4B380F0B170B29E849B2D9B4CC8556DCA55430862328D0210111BE8DE9"
"2025-08-21-this-session-is-being-continued-from-a-previous-co.txt","2025-08-21-this-session-is-being-continued-from-a-previous-co.txt",".txt","46995","08/22/2025 05:58:59","2025-08-21-this-session-is-being-continued-from-a-previous-co.txt","650814DA06B66200C88AE59251766ED208AADD207B4A1C71A7A8C142AB8ABD3A"
"2025-08-22-this-session-is-being-continued-from-a-previous-co.txt","2025-08-22-this-session-is-being-continued-from-a-previous-co.txt",".txt","56498","08/22/2025 10:42:09","2025-08-22-this-session-is-being-continued-from-a-previous-co.txt","88E670CA42FDD3B1EB107A61800CA17359B71D539B6AAA1F7591239821B6D67D"
"2025-08-22-yoyo.txt","2025-08-22-yoyo.txt",".txt","8083","08/22/2025 21:42:09","2025-08-22-yoyo.txt","F7D438BB82D97D5CBDE2187264FD54FA97FD40821F8C6F8C54E4E633C99B9B57"
"2025-10-22-eureka-caveat-the-messages-below-were-generated-by-the-u.txt","2025-10-22-eureka-caveat-the-messages-below-were-generated-by-the-u.txt",".txt","6522","10/22/2025 12:26:22","2025-10-22-eureka-caveat-the-messages-below-were-generated-by-the-u.txt","A9EF5B4945FD198EF59CAB8F5F6DA13C968A177874D2B4325BCC2F33CC463928"
"3.Termination_Consolidation copy 2.md","3.Termination_Consolidation copy 2.md",".md","33140","08/20/2025 23:45:26","3.Termination_Consolidation copy 2.md","B3FE4DC76C1A12230460D332F3C955BF38169435CD0FC15B8632A864A4084253"
"3.Termination_Consolidation copy 3.md","3.Termination_Consolidation copy 3.md",".md","32665","08/18/2025 21:10:01","3.Termination_Consolidation copy 3.md","E767272ACCFA3099F475983F048FF345695186E8FA1AC8F0942A205EB8786514"
"3.Termination_Consolidation copy.md","3.Termination_Consolidation copy.md",".md","34190","08/30/2025 23:37:32","3.Termination_Consolidation copy.md","635680191DFC186F5D7BDED9A7956DBA65914EFA26AC9590A9E2FE419B0203B7"
"3.Termination_Consolidation.md","3.Termination_Consolidation.md",".md","34190","08/30/2025 23:37:32","3.Termination_Consolidation.md","635680191DFC186F5D7BDED9A7956DBA65914EFA26AC9590A9E2FE419B0203B7"
"5-Pro copy.md","5-Pro copy.md",".md","7894","08/18/2025 07:55:12","5-Pro copy.md","9FEE6FAA11CF3D01A1E12ADACC356D920CEF64B427EA04CE40FED384712FD1F7"
"5-Pro.md","5-Pro.md",".md","7894","08/18/2025 07:55:12","5-Pro.md","9FEE6FAA11CF3D01A1E12ADACC356D920CEF64B427EA04CE40FED384712FD1F7"
"5th-6th candidates.html.docx","5th-6th candidates.html.docx",".docx","43568","08/18/2025 22:49:04","5th-6th candidates.html.docx","24474FFC2C9CE8C6AC3DA3B7B5E160A89BA617BBC81592787AA533C0C0BC0E69"
"5th-6th candidates.html.pdf","5th-6th candidates.html.pdf",".pdf","471006","08/18/2025 07:39:47","5th-6th candidates.html.pdf","225E8C4664FF6AE9E4B4218308899946B43577DD23ED0C2C65FF1F9B47F98A3B"
"5th-6th candidates.md","5th-6th candidates.md",".md","122709","10/24/2025 04:48:52","5th-6th candidates.md","816760FA51AFED2D43AC70E7B940FFBEB6523B942179258AD06B6CEAE6E3175A"
"5th-6th_candidates_html.md","5th-6th_candidates_html.md",".md","27669","11/02/2025 08:45:32","5th-6th_candidates_html.md","686BC92DDDA4E02080C6CC678676E4CA839595A4535E2D85E821E8A642B86081"
"AGENT copy 2.md","AGENT copy 2.md",".md","1254","08/11/2025 06:22:12","AGENT copy 2.md","BE9DED24053DD9464CC16C628140308AE5BC13B3058ABEC4970C721040747318"
"AGENT copy.md","AGENT copy.md",".md","1254","08/11/2025 06:22:12","AGENT copy.md","BE9DED24053DD9464CC16C628140308AE5BC13B3058ABEC4970C721040747318"
"agent.md","agent.md",".md","10243","08/18/2025 01:27:54","agent.md","E519E998ECEE9D31A47ABBFBA3F95ADB55ADBA063E933A14E867F7266FF00C6C"
"AI_Behavioral_Analysis_Consolidated copy.md","AI_Behavioral_Analysis_Consolidated copy.md",".md","83496","01/26/2026 14:25:27","AI_Behavioral_Analysis_Consolidated copy.md","B7AC72AB9A31FFBBD9B0FE6BFBECE9B301D1FB1657D9337DED41D070CE81F210"
"AI_fails_analysis.md","AI_fails_analysis.md",".md","5190","10/27/2025 22:18:50","AI_fails_analysis.md","8FE0B559D1EF93124C2941AA553EF5B0675A8A673706AE4CD121C9631A4A6509"
"AI_Flaws_Differential_Diagnostic copy.md","AI_Flaws_Differential_Diagnostic copy.md",".md","18122","12/16/2025 16:45:13","AI_Flaws_Differential_Diagnostic copy.md","8668955327993A9E1F081DFA1321D99611FFC33EED508677C9EE1D352DEEF65E"
"AI_Flaws_Differential_Diagnostic.md","AI_Flaws_Differential_Diagnostic.md",".md","18122","12/16/2025 16:45:13","AI_Flaws_Differential_Diagnostic.md","8668955327993A9E1F081DFA1321D99611FFC33EED508677C9EE1D352DEEF65E"
"AI_Retardation_Differential_Diagnostic.md","AI_Retardation_Differential_Diagnostic.md",".md","18143","12/16/2025 16:45:02","AI_Retardation_Differential_Diagnostic.md","4C1975C931D93776A21AB8FF1D16E31A6809BB483E91F0C21678823A8DF2E8CF"
"AI_Retardation_Differential_Diagnostic.pdf","AI_Retardation_Differential_Diagnostic.pdf",".pdf","152178","12/09/2025 23:07:47","AI_Retardation_Differential_Diagnostic.pdf","246636FBDE3ADF56B36483DAC2499B121C14BFCD9ECFBE9FDB0DFB3839ADC2EA"
"AI-Generated Mathematical Proofs_ Techn...pdf","AI-Generated Mathematical Proofs_ Techn...pdf",".pdf","728481","10/23/2025 03:10:56","AI-Generated Mathematical Proofs_ Techn...pdf","1F22909C8D24FFBE65A5FA7771DDAE41CE76DC05E5200C0E1FA1FB53974105B7"
